PROVINSI,KAB_KOTA,KECAMATAN,DESA_KELUR,JUMLAH_PEN,LUAS_WILAY,KEPADATAN,Latitude,Longitude
BANTEN,PANDEGLANG,MANDALAWANGI,CIKUMBUEN,3621.0,12.65,286.0,-6.262098411044507,105.96862546027735
BANTEN,PANDEGLANG,MANDALAWANGI,GUNUNGSARI,3361.0,2.59,1297.0,-6.301978191106266,106.02305106870799
BANTEN,PANDEGLANG,MANDALAWANGI,CURUGLEMO,2515.0,4.15,607.0,-6.277259779978857,105.9977424808482
BANTEN,PANDEGLANG,MANDALAWANGI,PARI,3613.0,2.78,1301.0,-6.303459234652704,105.96356566821183
BANTEN,PANDEGLANG,CIMANUK,CIMANUK,5424.0,3.52,1543.0,-6.353127696585097,106.03358227027151
BANTEN,PANDEGLANG,CIMANUK,KADUBUNGBANG,5257.0,2.79,1886.0,-6.327304897075657,106.02143321143431
BANTEN,PANDEGLANG,CIMANUK,KUPAHANDAP,3068.0,2.17,1413.0,-6.331372518295364,106.03210689263189
BANTEN,PANDEGLANG,CIMANUK,ROCEK,4281.0,2.32,1848.0,-6.354022609249444,106.05189111075124
BANTEN,PANDEGLANG,CIMANUK,KADUDODOL,3405.0,2.97,1146.0,-6.36335436562847,106.06217696784095
BANTEN,PANDEGLANG,CIMANUK,GUNUNGDATAR,2747.0,2.7,1017.0,-6.371955897728199,106.0516734822179
BANTEN,PANDEGLANG,CIMANUK,SEKONG,2289.0,2.58,887.0,-6.375771265274761,106.03384597207898
BANTEN,PANDEGLANG,KADUHEJO,CAMPAKA,3434.0,7.39,465.0,-6.296987716349665,106.0346412370881
BANTEN,PANDEGLANG,KADUHEJO,SUKASARI,6143.0,2.98,2062.0,-6.335097693646731,106.06079052426362
BANTEN,PANDEGLANG,KADUHEJO,KADUGEMBLO,2467.0,1.38,1794.0,-6.348843906636002,106.06724263437164
BANTEN,PANDEGLANG,BANJAR,CITALAHAB,4478.0,6.62,676.0,-6.3890981804040825,106.11070510243795
BANTEN,PANDEGLANG,BANJAR,KADULIMUS,4260.0,2.05,2081.0,-6.367063742770264,106.07902496843072
BANTEN,PANDEGLANG,BANJAR,MOGANA,2031.0,1.33,1533.0,-6.362969860435239,106.1206229850626
BANTEN,PANDEGLANG,BANJAR,BANJAR,5155.0,3.16,1632.0,-6.359088403016123,106.10191137955714
BANTEN,PANDEGLANG,BANJAR,KADUBALE,3211.0,2.15,1497.0,-6.349900349077148,106.10943323419944
BANTEN,PANDEGLANG,BANJAR,CIBEUREUM,2265.0,3.15,720.0,-6.410834989415947,106.10475754997938
BANTEN,PANDEGLANG,BANJAR,KADUMANEUH,2516.0,1.66,1513.0,-6.372369858267172,106.09496720239021
BANTEN,SERANG,PONTANG,SUKANEGARA,2435.0,4.39,555.0,-6.063138531346971,106.25387409183284
BANTEN,PANDEGLANG,BANJAR,PASIRAWI,1781.0,2.59,687.0,-6.389229647077327,106.09752869117214
BANTEN,PANDEGLANG,PANDEGLANG,KADOMAS,6426.0,2.53,2543.0,-6.333908340157243,106.113852163827
BANTEN,PANDEGLANG,PANDEGLANG,PANDEGLANG,20614.0,4.19,4921.0,-6.303834805965856,106.10461349920469
BANTEN,PANDEGLANG,CADASARI,KADUENGANG,2466.0,4.58,538.0,-6.267717257140478,106.06651282369876
BANTEN,PANDEGLANG,CADASARI,PASIRPEUTEUY,1877.0,2.58,727.0,-6.2645577247355915,106.08355436426555
BANTEN,PANDEGLANG,CADASARI,TAPOS,3817.0,3.29,1160.0,-6.256448119004858,106.10578374490969
BANTEN,PANDEGLANG,CADASARI,CADASARI,7802.0,2.48,3142.0,-6.260691056485537,106.12038669925577
BANTEN,PANDEGLANG,CADASARI,KAUNGCAANG,3378.0,2.83,1192.0,-6.260471044223737,106.14150393859822
BANTEN,PANDEGLANG,CADASARI,CIKENTRUNG,2333.0,3.38,690.0,-6.2624254142686775,106.15480919727662
BANTEN,PANDEGLANG,CADASARI,TANAGARA,3138.0,1.87,1681.0,-6.269341978637489,106.10566168435354
BANTEN,PANDEGLANG,CISATA,RAWASARI,1852.0,5.36,345.0,-6.415176650717601,105.93871091062223
BANTEN,PANDEGLANG,CISATA,PASIREURIH,5014.0,3.87,1294.0,-6.391485148910238,105.94988004058625
BANTEN,PANDEGLANG,CISATA,CIBARANI,3581.0,3.14,1139.0,-6.430364420149784,105.92054499804499
BANTEN,PANDEGLANG,PATIA,SIMPANGTIGA,2099.0,4.21,498.0,-6.505409654936104,105.89472925174042
BANTEN,PANDEGLANG,CISATA,KONDANGJAYA,2732.0,3.67,744.0,-6.416357075503951,105.9087204058761
BANTEN,PANDEGLANG,CISATA,PALEMBANG,1800.0,3.05,590.0,-6.360539100120271,105.9621803710908
BANTEN,PANDEGLANG,PATIA,TURUS,2537.0,5.65,449.0,-6.513746347616694,105.88009470858273
BANTEN,PANDEGLANG,PATIA,PATIA,3719.0,6.63,561.0,-6.486347086264202,105.86276140523981
BANTEN,PANDEGLANG,PATIA,PASIRGADUNG,2813.0,5.08,554.0,-6.490709146873238,105.89518040105652
BANTEN,PANDEGLANG,PATIA,CIMOYAN,3424.0,6.55,523.0,-6.472477501754987,105.89432812585923
BANTEN,PANDEGLANG,CIBITUNG,MALANGNENGAH,1394.0,3.72,374.0,-6.76167917448341,105.72940175194259
BANTEN,PANDEGLANG,PATIA,IDAMAN,1777.0,5.37,331.0,-6.457185329298699,105.88930645857268
BANTEN,PANDEGLANG,KARANG TANJUNG,CIGADUNG,12767.0,5.25,2431.0,-6.279726040068084,106.1119655815098
BANTEN,PANDEGLANG,CIKEDAL,KARYASARI,4315.0,2.59,1668.0,-6.379262716396221,105.90013452530027
BANTEN,PANDEGLANG,CIKEDAL,DAHU,2885.0,3.23,893.0,-6.3821472078266535,105.88581347644778
BANTEN,PANDEGLANG,CIKEDAL,KARYAUTAMA,3083.0,1.58,1951.0,-6.4022792842014695,105.88496391093231
BANTEN,PANDEGLANG,CIKEDAL,PADAHAYU,2292.0,1.83,1249.0,-6.373670620763348,105.86067961153393
BANTEN,PANDEGLANG,CIKEDAL,CENING,2915.0,2.29,1275.0,-6.36618184249794,105.88939564842403
BANTEN,PANDEGLANG,CIKEDAL,BANGKUYUNG,2298.0,2.44,943.0,-6.3661847767128625,105.86929485984044
BANTEN,PANDEGLANG,CARITA,CARITA,3616.0,1.61,2239.0,-6.3210283840685415,105.8455706750688
BANTEN,PANDEGLANG,CIBITUNG,SINDANGKERTA,1345.0,9.68,139.0,-6.821936916876302,105.69422013684895
BANTEN,PANDEGLANG,CIBITUNG,MANGLID,2685.0,6.29,427.0,-6.785178724536742,105.69350533618436
BANTEN,PANDEGLANG,CIBITUNG,CIKIRUH,1873.0,26.36,71.0,-6.800202352402985,105.7625302673895
BANTEN,PANDEGLANG,CARITA,PEJAMBEN,3894.0,4.01,970.0,-6.3421598576914855,105.83580071150652
BANTEN,PANDEGLANG,CIBITUNG,KIARAPAYUNG,2039.0,10.06,203.0,-6.779234365875044,105.6732385698352
BANTEN,PANDEGLANG,CIBITUNG,KUTAKARANG,2502.0,26.01,96.0,-6.81858318458878,105.74410011609115
BANTEN,PANDEGLANG,CIBITUNG,CITELUK,1803.0,7.92,228.0,-6.8102346840279475,105.67432528679065
BANTEN,PANDEGLANG,CARITA,SUKARAME,5097.0,24.58,207.0,-6.278815647101713,105.85474080796358
BANTEN,PANDEGLANG,CARITA,SUKANEGARA,4031.0,7.25,556.0,-6.251309249096932,105.84510408709316
BANTEN,PANDEGLANG,CARITA,CINOYONG,1874.0,12.92,145.0,-6.249059198383919,105.89728372469614
BANTEN,PANDEGLANG,CARITA,SUKAJADI,3526.0,1.85,1901.0,-6.306888953263371,105.84423237022352
BANTEN,PANDEGLANG,CARITA,SINDANGLAUT,2960.0,6.79,436.0,-6.31093646899577,105.8599728697749
BANTEN,PANDEGLANG,SUKARESMI,KARYASARI,2701.0,6.28,430.0,-6.5431405199621,105.83987294156334
BANTEN,PANDEGLANG,PULOSARI,CILENTUNG,3157.0,4.03,783.0,-6.332309538538181,105.95887380530984
BANTEN,PANDEGLANG,SUKARESMI,PERDANA,2351.0,2.28,1030.0,-6.526387472455287,105.83888127193808
BANTEN,PANDEGLANG,SUKARESMI,SUKARESMI,3319.0,6.19,536.0,-6.5030821304987665,105.83594942105691
BANTEN,PANDEGLANG,SUKARESMI,PASIRKADU,4408.0,12.01,367.0,-6.5169269652464425,105.85767554616902
BANTEN,PANDEGLANG,SUKARESMI,KUBANGKAMPIL,3448.0,5.38,641.0,-6.483625513811983,105.83879353405173
BANTEN,PANDEGLANG,SUKARESMI,SIDAMUKTI,6618.0,4.02,1647.0,-6.485513956404426,105.81496956527266
BANTEN,PANDEGLANG,SUKARESMI,CIBUNGUR,5227.0,4.82,1084.0,-6.463862876556995,105.82175080685647
BANTEN,PANDEGLANG,SUKARESMI,WERU,2071.0,2.89,717.0,-6.4667758222082306,105.8356394322916
BANTEN,PANDEGLANG,MEKARJAYA,KADUBELANG,3867.0,4.1,943.0,-6.381027910549821,106.06964164107693
